no.                           Taxon               ORDER         so            Family   Br_Length Rnk     Brln
1                Struthio_camelus    STRUTHIONIFORMES        npass     Struthionidae   91.069118   2 92.06910
2               Apteryx_australis      APTERYGIFORMES        npass       Apterygidae    2.298559   3  3.29856
3                Apteryx_mantelli      APTERYGIFORMES        npass       Apterygidae    2.195203   4  3.19520
4                    Apteryx_rowi      APTERYGIFORMES        npass       Apterygidae    7.553313   5  8.55331
5                 Apteryx_haastii      APTERYGIFORMES        npass       Apterygidae    3.511858   6  4.51186
6                  Apteryx_owenii      APTERYGIFORMES        npass       Apterygidae   62.284539   7 63.28450
7                  Mullerornis_sp   AEPYORNITHIFORMES        npass    Aepyornithidae   29.817111   8 30.81710
8               Aepyornis_maximus   AEPYORNITHIFORMES        npass    Aepyornithidae   10.726213   9 11.72620
9              Casuarius_bennetti      CASUARIIFORMES        npass       Casuariidae   13.714872  10 14.71490
10            Casuarius_casuarius      CASUARIIFORMES        npass       Casuariidae   37.959562  11 38.95960
11       Dromaius_novaehollandiae      CASUARIIFORMES        npass       Casuariidae    0.957058  12  1.95706
12                 Rhea_americana          RHEIFORMES        npass           Rheidae   10.473204  13 11.47320
13                   Rhea_pennata          RHEIFORMES        npass           Rheidae    3.038966  14  4.03897
14       Anomalopteryx_didiformis    DINORNITHIFORMES        npass           Emeidae    4.907673  15  5.90767
15                  Emeus_crassus    DINORNITHIFORMES        npass           Emeidae    3.675847  16  4.67585
16           Pachyornis_australis    DINORNITHIFORMES        npass           Emeidae    4.910301  17  5.91030
17             Dinornis_giganteus    DINORNITHIFORMES        npass     Dinornithidae    9.741305  18 10.74130
18           Megalapteryx_didinus    DINORNITHIFORMES        npass  Megalapterygidae   72.091954  19 73.09200
19              Crypturellus_soui        TINAMIFORMES        npass         Tinamidae   39.838821  20 40.83880
20           Crypturellus_tataupa        TINAMIFORMES        npass         Tinamidae    8.143985  21  9.14399
21               Tinamus_guttatus        TINAMIFORMES        npass         Tinamidae   19.129194  22 20.12920
22                  Tinamus_major        TINAMIFORMES        npass         Tinamidae   13.099198  23 14.09920
23               Eudromia_elegans        TINAMIFORMES        npass         Tinamidae   60.254428  24 61.25440
24         Nothoprocta_perdicaria        TINAMIFORMES        npass         Tinamidae   18.930882  25 19.93090
25             Anas_platyrhynchos        ANSERIFORMES        npass          Anatidae    1.081518  26  2.08152
26              Anas_superciliosa        ANSERIFORMES        npass          Anatidae   13.310351  27 14.31040
27               Aythya_americana        ANSERIFORMES        npass          Anatidae    9.680741  28 10.68070
28                 Biziura_lobata        ANSERIFORMES        npass          Anatidae    1.786007  29  2.78601
29                Anser_canagicus        ANSERIFORMES        npass          Anatidae    1.932687  30  2.93269
30             Anser_caerulescens        ANSERIFORMES        npass          Anatidae    0.468797  31  1.46880
31                   Anser_rossii        ANSERIFORMES        npass          Anatidae    0.535868  32  1.53587
