Taxon ORDER Family TermBrLength
Struthio_camelus STRUTHIONIFORMES Struthionidae 0.0000022480
Apteryx_rowi APTERYGIFORMES Apterygidae 0.0006604891
Apteryx_mantelli APTERYGIFORMES Apterygidae 0.0000020475
Apteryx_australis APTERYGIFORMES Apterygidae 0.0000022233
Apteryx_haastii APTERYGIFORMES Apterygidae 0.0000020128
Apteryx_owenii APTERYGIFORMES Apterygidae 0.0000020128
Aepyornis_maximus AEPYORNITHIFORMES Aepyornithidae 0.0000020128
Mullerornis_sp AEPYORNITHIFORMES Aepyornithidae 0.0000020128
Dromaius_novaehollandiae CASUARIIFORMES Casuariidae 0.0000028487
Casuarius_casuarius CASUARIIFORMES Casuariidae 0.0000020128
Casuarius_bennetti CASUARIIFORMES Casuariidae 0.0000020128
Rhea_americana RHEIFORMES Rheidae 0.0000027545
Rhea_pennata RHEIFORMES Rheidae 0.0000022629
Dinornis_giganteus DINORNITHIFORMES Dinornithidae 0.0014683277
Megalapteryx_didinus DINORNITHIFORMES Megalapterygidae 0.0000022821
Pachyornis_australis DINORNITHIFORMES Emeidae 0.0014704181
Emeus_crassus DINORNITHIFORMES Emeidae 0.0000022112
Anomalopteryx_didiformis DINORNITHIFORMES Emeidae 0.0000026975
Nothoprocta_perdicaria TINAMIFORMES Tinamidae 0.0000024301
Nothoprocta_ornata TINAMIFORMES Tinamidae 0.0000028833
Eudromia_elegans TINAMIFORMES Tinamidae 0.0000020715
Crypturellus_soui TINAMIFORMES Tinamidae 0.0000021198
Crypturellus_cinnamomeus TINAMIFORMES Tinamidae 0.0000020128
Crypturellus_tataupa TINAMIFORMES Tinamidae 0.0000028375
Tinamus_guttatus TINAMIFORMES Tinamidae 0.0000020128
Tinamus_major TINAMIFORMES Tinamidae 0.0000020190
Nothocercus_nigrocapillus TINAMIFORMES Tinamidae 0.0000024840
Dendrocolaptes_certhia PASSERIFORMES suboscines_Furnariidae 0.0000029430
Lepidocolaptes_angustirostris PASSERIFORMES suboscines_Furnariidae 0.0000020128
Furnarius_rufus PASSERIFORMES suboscines_Furnariidae 0.0000026208
Sclerurus_mexicanus PASSERIFORMES suboscines_Furnariidae 0.0000020128
Scytalopus_magellanicus PASSERIFORMES suboscines_Rhinocryptidae 0.0000028009
Myrmothera_campanisona PASSERIFORMES suboscines_Grallariidae 0.0000020128
Grallaria_varia PASSERIFORMES suboscines_Grallariidae 0.0000020128
Thamnophilus_nigrocinereus PASSERIFORMES suboscines_Thamnophilidae 0.0000020128
Thamnophilus_ruficapillus PASSERIFORMES suboscines_Thamnophilidae 0.0000021958
Euchrepomis_callinota PASSERIFORMES suboscines_Thamnophilidae 0.0004143279
Myrmornis_torquata PASSERIFORMES suboscines_Thamnophilidae 0.0000025769
Melanopareia_maximiliani PASSERIFORMES suboscines_Melanopareiidae 0.0000025317
Ceratopipra_erythrocephala PASSERIFORMES suboscines_Pipridae 0.0000026207
Lepidothrix_coronata PASSERIFORMES suboscines_Pipridae 0.0000022831
Cryptopipo_holochlora PASSERIFORMES suboscines_Pipridae 0.0000022163
Manacus_vitellinus PASSERIFORMES suboscines_Pipridae 0.0000023779
Neopelma_chrysocephalum PASSERIFORMES suboscines_Pipridae 0.0000028310
Cotinga_cayana PASSERIFORMES suboscines_Cotingidae 0.0000020128
Rupicola_rupicola PASSERIFORMES suboscines_Cotingidae 0.0000020128
Tyrannus_tyrannus PASSERIFORMES suboscines_Tyrannidae 0.0000020128
Tyrannus_albogularis PASSERIFORMES suboscines_Tyrannidae 0.0000020128
Hymenops_perspicillatus PASSERIFORMES suboscines_Tyrannidae 0.0000026170
Elaenia_flavogaster PASSERIFORMES suboscines_Tyrannidae 0.0000029396
Hirundinea_ferruginea PASSERIFORMES suboscines_Tyrannidae 0.0000022269
Mionectes_macconnelli PASSERIFORMES suboscines_Tyrannidae 0.0000020128
Rhynchocyclus_olivaceus PASSERIFORMES suboscines_Tyrannidae 0.0000022008
Piprites_chloris PASSERIFORMES suboscines_Tyrannidae 0.0000021138
Pachyramphus_minor PASSERIFORMES suboscines_Tityridae 0.0000024358
Pachyramphus_validus PASSERIFORMES suboscines_Tityridae 0.0014714202
