Taxon ORDER Family TBrLenx1000
_Struthio_camelus STRUTHIONIFORMES Struthionidae 0.002248
_Apteryx_rowi APTERYGIFORMES Apterygidae 0.660489
_Apteryx_mantelli APTERYGIFORMES Apterygidae 0.0020475
_Apteryx_australis APTERYGIFORMES Apterygidae 0.0022233
_Apteryx_haastii APTERYGIFORMES Apterygidae 0.0020128
_Apteryx_owenii APTERYGIFORMES Apterygidae 0.0020128
_Aepyornis_maximus AEPYORNITHIFORMES Aepyornithidae 0.0020128
_Mullerornis_sp AEPYORNITHIFORMES Aepyornithidae 0.0020128
_Dromaius_novaehollandiae CASUARIIFORMES Casuariidae 0.0028487
_Casuarius_casuarius CASUARIIFORMES Casuariidae 0.0020128
_Casuarius_bennetti CASUARIIFORMES Casuariidae 0.0020128
_Rhea_americana RHEIFORMES Rheidae 0.0027545
_Rhea_pennata RHEIFORMES Rheidae 0.0022629
_Dinornis_giganteus DINORNITHIFORMES Dinornithidae 1.46833
_Megalapteryx_didinus DINORNITHIFORMES Megalapterygidae 0.0022821
_Pachyornis_australis DINORNITHIFORMES Emeidae 1.47042
_Emeus_crassus DINORNITHIFORMES Emeidae 0.0022112
_Anomalopteryx_didiformis DINORNITHIFORMES Emeidae 0.0026975
_Nothoprocta_perdicaria TINAMIFORMES Tinamidae 0.0024301
_Nothoprocta_ornata TINAMIFORMES Tinamidae 0.0028833
_Eudromia_elegans TINAMIFORMES Tinamidae 0.0020715
_Crypturellus_soui TINAMIFORMES Tinamidae 0.0021198
_Crypturellus_cinnamomeus TINAMIFORMES Tinamidae 0.0020128
_Crypturellus_tataupa TINAMIFORMES Tinamidae 0.0028375
_Tinamus_guttatus TINAMIFORMES Tinamidae 0.0020128
_Tinamus_major TINAMIFORMES Tinamidae 0.002019
_Nothocercus_nigrocapillus TINAMIFORMES Tinamidae 0.002484
_Dendrocolaptes_certhia PASSERIFORMES suboscines_Furnariidae 0.002943
_Lepidocolaptes_angustirostris PASSERIFORMES suboscines_Furnariidae 0.0020128
_Furnarius_rufus PASSERIFORMES suboscines_Furnariidae 0.0026208
_Sclerurus_mexicanus PASSERIFORMES suboscines_Furnariidae 0.0020128
_Scytalopus_magellanicus PASSERIFORMES suboscines_Rhinocryptidae 0.0028009
_Myrmothera_campanisona PASSERIFORMES suboscines_Grallariidae 0.0020128
_Grallaria_varia PASSERIFORMES suboscines_Grallariidae 0.0020128
_Thamnophilus_nigrocinereus PASSERIFORMES suboscines_Thamnophilidae 0.0020128
_Thamnophilus_ruficapillus PASSERIFORMES suboscines_Thamnophilidae 0.0021958
_Euchrepomis_callinota PASSERIFORMES suboscines_Thamnophilidae 0.414328
_Myrmornis_torquata PASSERIFORMES suboscines_Thamnophilidae 0.0025769
_Melanopareia_maximiliani PASSERIFORMES suboscines_Melanopareiidae 0.0025317
_Ceratopipra_erythrocephala PASSERIFORMES suboscines_Pipridae 0.0026207
_Lepidothrix_coronata PASSERIFORMES suboscines_Pipridae 0.0022831
_Cryptopipo_holochlora PASSERIFORMES suboscines_Pipridae 0.0022163
_Manacus_vitellinus PASSERIFORMES suboscines_Pipridae 0.0023779
_Neopelma_chrysocephalum PASSERIFORMES suboscines_Pipridae 0.002831
_Cotinga_cayana PASSERIFORMES suboscines_Cotingidae 0.0020128
_Rupicola_rupicola PASSERIFORMES suboscines_Cotingidae 0.0020128
_Tyrannus_tyrannus PASSERIFORMES suboscines_Tyrannidae 0.0020128
_Tyrannus_albogularis PASSERIFORMES suboscines_Tyrannidae 0.0020128
_Hymenops_perspicillatus PASSERIFORMES suboscines_Tyrannidae 0.002617
_Elaenia_flavogaster PASSERIFORMES suboscines_Tyrannidae 0.0029396
_Hirundinea_ferruginea PASSERIFORMES suboscines_Tyrannidae 0.0022269
_Mionectes_macconnelli PASSERIFORMES suboscines_Tyrannidae 0.0020128
_Rhynchocyclus_olivaceus PASSERIFORMES suboscines_Tyrannidae 0.0022008
_Piprites_chloris PASSERIFORMES suboscines_Tyrannidae 0.0021138
_Pachyramphus_minor PASSERIFORMES suboscines_Tityridae 0.0024358
