1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL
9449	PICIFORMES	Galbulidae	Galbalcyrhynchus	Des Murs	1845		
9450	PICIFORMES	Galbulidae	Galbalcyrhynchus leucotis	Des Murs	1845	Rev. Zool. 8: 207	https://biodiversitylibrary.org/page/2327309
9451	PICIFORMES	Galbulidae	Galbalcyrhynchus purusianus	Goeldi	1904	Verz. Neuen Thiere Pflantzenform. Suppl. 7: 3	
9452	PICIFORMES	Galbulidae	Brachygalba	Bonaparte	1854		
9453	PICIFORMES	Galbulidae	Brachygalba salmoni	"Sclater, PL & Salvin"	1879	Proc. Zool. Soc. London (1879): 535	https://biodiversitylibrary.org/page/28521673
9454	PICIFORMES	Galbulidae	Brachygalba goeringi	"Sclater, PL & Salvin"	1869	Proc. Zool. Soc. London (1869): 253 pl. 18	https://biodiversitylibrary.org/page/28663142
9455	PICIFORMES	Galbulidae	Brachygalba lugubris	(Swainson)	1838	Anim. Menag.: 329	https://biodiversitylibrary.org/page/28995040
9456	PICIFORMES	Galbulidae	Brachygalba lugubris lugubris	(Swainson)	1838	Anim. Menag.: 329	https://biodiversitylibrary.org/page/28995040
9457	PICIFORMES	Galbulidae	Brachygalba lugubris melanosterna	"Sclater, PL"	1855	Proc. Zool. Soc. London pt 23: 15	https://biodiversitylibrary.org/page/30747848
9458	PICIFORMES	Galbulidae	Brachygalba lugubris fulviventris	"Sclater, PL"	1891	"Cat. Birds Brit. Mus. 19: 171, 172"	https://biodiversitylibrary.org/page/8383856
9459	PICIFORMES	Galbulidae	Brachygalba lugubris caquetae	Chapman	1917	Bull. Am. Mus. Nat. Hist. 36: 338	http://hdl.handle.net/2246/1243
9460	PICIFORMES	Galbulidae	Brachygalba lugubris naumburgae	Chapman	1931	Am. Mus. Novit. 450: 1	http://hdl.handle.net/2246/3836
9461	PICIFORMES	Galbulidae	Brachygalba lugubris phaeonota	Todd	1943	Ann. Carnegie Mus. Nat. Hist. 30: 10	https://biodiversitylibrary.org/page/52336848
9462	PICIFORMES	Galbulidae	Brachygalba lugubris obscuriceps	"Zimmer, JT & Phelps"	1947	Am. Mus. Novit. 1338: 3	http://hdl.handle.net/2246/5153
9463	PICIFORMES	Galbulidae	Brachygalba albogularis	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 54 pl. 57 fig. 1	https://biodiversitylibrary.org/page/41277689
9464	PICIFORMES	Galbulidae	Jacamaralcyon	"Lesson, R"	1830		
9465	PICIFORMES	Galbulidae	Jacamaralcyon tridactyla	(Vieillot)	1817	Nouv. Dict. d'Hist. Nat. 16: 445	https://biodiversitylibrary.org/page/18054171
9466	PICIFORMES	Galbulidae	Galbula	Brisson	1760		
9467	PICIFORMES	Galbulidae	Galbula albirostris	Latham	1790	Index Orn. 1: 245	https://biodiversitylibrary.org/page/53510616
9468	PICIFORMES	Galbulidae	Galbula albirostris albirostris	Latham	1790	Index Orn. 1: 245	https://biodiversitylibrary.org/page/53510616
9469	PICIFORMES	Galbulidae	Galbula albirostris chalcocephala	Deville	1849	Rev. Mag. Zool. (Ser. 2) 1: 55	https://biodiversitylibrary.org/page/2343296
9470	PICIFORMES	Galbulidae	Galbula cyanicollis	Cassin	1851	Proc. Acad. Nat. Sci. Philadelphia 5: 154 pl. 7	https://biodiversitylibrary.org/page/1642746
9471	PICIFORMES	Galbulidae	Galbula ruficauda	Cuvier	1816	"Regne Anim. 1: 420, note"	https://biodiversitylibrary.org/page/1844930
9472	PICIFORMES	Galbulidae	Galbula ruficauda ruficauda	Cuvier	1816	"Regne Anim. 1: 420, note"	https://biodiversitylibrary.org/page/1844930
9473	PICIFORMES	Galbulidae	Galbula ruficauda rufoviridis	Cabanis	1851	Allg. Encycl. sect. 1 52: 308	
9474	PICIFORMES	Galbulidae	Galbula ruficauda melanogenia	"Sclater, PL"	1852	Contrib. Orn. 5: 61 pl. 90	https://biodiversitylibrary.org/page/51468130
9475	PICIFORMES	Galbulidae	Galbula ruficauda pallens	Bangs	1898	Proc. Biol. Soc. Wash. 12: 133	https://biodiversitylibrary.org/page/3850007
9476	PICIFORMES	Galbulidae	Galbula ruficauda brevirostris	Cory	1913	Field Mus. Nat. Hist. Pub. Orn. Ser. 1: 287	https://biodiversitylibrary.org/page/2643279
9477	PICIFORMES	Galbulidae	Galbula ruficauda heterogyna	Todd	1932	Proc. Biol. Soc. Wash. 45: 217	https://biodiversitylibrary.org/page/35459471
9478	PICIFORMES	Galbulidae	Galbula galbula	(Linnaeus)	1766	Syst. Nat. (ed. 12) 1: 182	https://biodiversitylibrary.org/page/42946378
9479	PICIFORMES	Galbulidae	Galbula pastazae	Taczanowski & Berlepsch	1885	Proc. Zool. Soc. London (1885): 107	https://biodiversitylibrary.org/page/28697062
9480	PICIFORMES	Galbulidae	Galbula tombacea	Spix	1824	Av. Sp. Nov. Brasil. 1: 55 pl. 58	https://biodiversitylibrary.org/page/41277690
9481	PICIFORMES	Galbulidae	Galbula tombacea tombacea	Spix	1824	Av. Sp. Nov. Brasil. 1: 55 pl. 58	https://biodiversitylibrary.org/page/41277690
9482	PICIFORMES	Galbulidae	Galbula tombacea mentalis	Todd	1943	Ann. Carnegie Mus. Nat. Hist. 30: 9	https://biodiversitylibrary.org/page/52336847
9483	PICIFORMES	Galbulidae	Galbula cyanescens	Deville	1849	Rev. Mag. Zool. (Ser. 2) 1: 56	https://biodiversitylibrary.org/page/2343297
9484	PICIFORMES	Galbulidae	Galbula chalcothorax	"Sclater, PL"	1855	Proc. Zool. Soc. London pt 22: 110	https://biodiversitylibrary.org/page/30747505
9485	PICIFORMES	Galbulidae	Galbula leucogastra	Vieillot	1817	Nouv. Dict. d'Hist. Nat. 16: 444	https://biodiversitylibrary.org/page/18054170
9486	PICIFORMES	Galbulidae	Galbula dea	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 116	https://biodiversitylibrary.org/page/727021
9487	PICIFORMES	Galbulidae	Galbula dea dea	(Linnaeus)	1758	Syst. Nat. (ed. 10) 1: 116	https://biodiversitylibrary.org/page/727021
9488	PICIFORMES	Galbulidae	Galbula dea amazonum	"(Sclater, PL)"	1855	Proc. Zool. Soc. London pt 23: 14	https://biodiversitylibrary.org/page/30747847
9489	PICIFORMES	Galbulidae	Galbula dea brunneiceps	(Todd)	1943	Ann. Carnegie Mus. Nat. Hist. 30: 6	https://biodiversitylibrary.org/page/52336844
9490	PICIFORMES	Galbulidae	Galbula dea phainopepla	(Todd)	1943	Ann. Carnegie Mus. Nat. Hist. 30: 6	https://biodiversitylibrary.org/page/52336844
9491	PICIFORMES	Galbulidae	Jacamerops	"Lesson, R"	1830		
9492	PICIFORMES	Galbulidae	Jacamerops aureus	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 94	https://biodiversitylibrary.org/page/52710047
9493	PICIFORMES	Galbulidae	Jacamerops aureus aureus	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 94	https://biodiversitylibrary.org/page/52710047
9494	PICIFORMES	Galbulidae	Jacamerops aureus isidori	Deville	1849	Rev. Mag. Zool. (Ser. 2) 1: 55	https://biodiversitylibrary.org/page/2343296
9495	PICIFORMES	Galbulidae	Jacamerops aureus penardi	Bangs & Barbour	1922	Bull. Mus. Comp. Zool. 65: 200	https://biodiversitylibrary.org/page/4774565
