1	ORDER	FAMILY	TAXON	AUTHORITY	TYPE SPECIES	YEAR	REFERENCE	URL
2	STRUTHIONIFORMES	Struthionidae	Struthio	Linnaeus	1.000	1758	"Gray, G.R., List Gen. Birds, 1840, p. 63"	https://www.biodiversitylibrary.org/item/48588#page/77/mode/1up
3	STRUTHIONIFORMES	Struthionidae	Struthio camelus	Linnaeus		1758	Syst. Nat. (ed. 10) 1: 155	https://biodiversitylibrary.org/page/727062
4	STRUTHIONIFORMES	Struthionidae	Struthio camelus syriacus †	Rothschild		1919	Bull. B.O.C. 39: 83	https://biodiversitylibrary.org/page/32431253
5	STRUTHIONIFORMES	Struthionidae	Struthio camelus camelus	Linnaeus		1758	Syst. Nat. (ed. 10) 1: 155	https://biodiversitylibrary.org/page/727062
6	STRUTHIONIFORMES	Struthionidae	Struthio camelus massaicus	Neumann		1898	J. für Orn. (Ser. 5) 46: 243	https://biodiversitylibrary.org/page/33428639
7	STRUTHIONIFORMES	Struthionidae	Struthio camelus australis	Gurney Sr		1868	Ibis (Ser. 2) 4: 253	https://biodiversitylibrary.org/page/16341866
8	STRUTHIONIFORMES	Struthionidae	Struthio molybdophanes	Reichenow		1883	Sonntagsblatt d. Norddeutsche Allgem. Zeitung  no. 37: 16	
9	RHEIFORMES	Rheidae	Rhea	Brisson	1.000	1760	"Orn. 1: 46, 5: 8"	https://www.biodiversitylibrary.org/item/111091#page/18/mode/1up
10	RHEIFORMES	Rheidae	Rhea americana	(Linnaeus)		1758	Syst. Nat. (ed. 10) 1: 155	https://biodiversitylibrary.org/page/727062
11	RHEIFORMES	Rheidae	Rhea americana americana	(Linnaeus)		1758	Syst. Nat. (ed. 10) 1: 155	https://biodiversitylibrary.org/page/727062
12	RHEIFORMES	Rheidae	Rhea americana intermedia	"Rothschild & Chubb, C"		1914	Novit. Zool. 21: 223	https://biodiversitylibrary.org/page/2988359
13	RHEIFORMES	Rheidae	Rhea americana nobilis	Brodkorb		1939	Proc. Biol. Soc. Wash. 52: 138	https://biodiversitylibrary.org/page/34606487
14	RHEIFORMES	Rheidae	Rhea americana araneipes	Brodkorb		1938	Occ. Pap. Mus. Zool. U. Michigan no. 367: 1	http://hdl.handle.net/2027.42/56806
15	RHEIFORMES	Rheidae	Rhea americana albescens	Lynch & Holmberg		1878	Nat. Argentina 1: 101	https://biodiversitylibrary.org/page/50240235
16	RHEIFORMES	Rheidae	Rhea pennata	d'Orbigny		1837	"Voy. Am. merid. livr. 2: 67, note2"	
17	RHEIFORMES	Rheidae	Rhea pennata garleppi	"(Chubb, C)"		1913	Bull. B.O.C. 33: 79	https://biodiversitylibrary.org/page/32475869
